$-1000$ ms,$-500$ ms,$0$ ms,$+500$ ms
60.46673326332384,61.021737431345336,66.37358956592644,60.301709258899066
61.129709184572796,57.04580414412064,75.77955801378691,62.15817183059531
95.23890925057165,94.87286804889862,97.4220230111762,97.35915538872256
58.74028893662335,57.29477855081976,60.776446806009936,63.08030849102796
68.21882178162183,64.12491012084985,67.97763832421803,67.64928754857378
56.08746249094177,54.62411809968028,68.47477664393554,57.66821180614332
59.555804827256104,53.8709730660142,76.24224489949151,62.58036417436768
73.68245651408857,76.33236986999758,79.59771596837727,77.62727820100126
44.34419048651137,43.53764695917664,51.330915300034775,42.74631300615259
57.09551493821668,49.822309722945924,68.91441280510938,54.29652139281229
67.48990759707085,62.0697404401679,100.06422188081723,70.06393488322448
46.632681781707106,44.68083453305446,48.199685405926736,47.800703633306014
